score,r2_1,r2_2,epochs,kernel_size,points,model_param1,model_param2,telescope,t_int,label,ps_bins_to_make,ps_bins_to_use
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",248,21,
NA,NA,NA,NA,NA,NA,20,10,NA,NA,"testing optuna for PS xgb model",929,19,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",171,22,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1079,25,
NA,NA,NA,NA,NA,NA,55,6,NA,NA,"testing optuna for PS xgb model",844,25,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1074,28,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",963,22,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",767,20,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",889,23,
NA,NA,NA,NA,NA,NA,90,6,NA,NA,"testing optuna for PS xgb model",867,18,
NA,NA,NA,NA,NA,NA,140,5,NA,NA,"testing optuna for PS xgb model",953,23,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",814,21,
NA,NA,NA,NA,NA,NA,70,6,NA,NA,"testing optuna for PS xgb model",919,24,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1045,22,
NA,NA,NA,NA,NA,NA,80,6,NA,NA,"testing optuna for PS xgb model",733,18,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1068,24,
